from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
246,MKT,69,71,72
246,HYW,78,80,81
247,LW,58,59,61
247,LMC,63,64,66
247,HG,88,90,92
247,SB,88,90,92
247,MKT,70,71,72
247,HYW,79,80,81
251S,LW,65,66,67
251S,LMC,70,71,72
251S,HG,71,74,76
251S,SB,72,74,76
251S,MKT,78,79,80
251S,HYW,80,84,87
252,LW,71,72,73
252,LMC,76,77,78
252,HG,77,80,82
252,SB,79,81,84
252,MKT,84,86,87
252,HYW,86,90,93
253,LW,61,62,64
253,LMC,66,67,69
253,HG,76,78,81
253,SB,76,78,80
253,MKT,78,80,81
253,HYW,81,84,87
254,LW,66,67,69
254,LMC,71,72,74
254,HG,77,79,82
254,SB,76,78,80
254,MKT,87,88,90
254,HYW,84,86,90
255,LW,64,66,67
255,LMC,69,71,72
255,HG,75,77,80
255,SB,74,76,77
255,MKT,80,84,86
255,HYW,82,85,88
260,LW,60,61,62
260,LMC,65,66,67
260,HG,71,74,76
260,SB,70,72,74
260,MKT,70,71,73
260,HYW,77,79,81
261,LW,72,75,77
261,LMC,77,80,82
261,HG,92,94,96
261,SB,91,92,95
261,MKT,84,88,92
261,HYW,92,96,98
262,LW,71,72,74
262,LMC,76,77,79
262,HG,89,91,94
262,SB,88,90,93
262,MKT,85,87,89
262,HYW,92,94,96
263,LW,65,66,67
263,LMC,70,71,72
263,HG,93,96,99
263,SB,87,90,92
263,MKT,80,83,85
263,HYW,87,90,93
264,LW,64,65,66
264,LMC,69,70,71
264,HG,79,81,83
264,SB,78,80,82
264,MKT,77,79,82
264,HYW,84,86,89
265,LW,62,63,64
265,LMC,67,68,69
265,HG,80,82,84
265,SB,80,82,84
265,MKT,77,79,82
265,HYW,86,87,89
266,LW,60,62,63
266,LMC,65,67,68
266,HG,80,82,84
266,SB,82,84,86
266,MKT,75,76,77
266,HYW,84,85,86
267,LW,58,59,60
267,LMC,63,64,65
267,HG,77,79,81
267,SB,78,80,83
267,MKT,69,70,72
267,HYW,78,79,81
268,LW,55,56,57
268,LMC,60,61,62
268,HG,79,81,83
268,SB,78,80,82
268,MKT,65,67,68
268,HYW,74,76,77
269,LW,83,87,91
269,LMC,88,92,96
269,HG,89,92,98
269,SB,87,91,95
269,MKT,99,104,112
269,HYW,96,99,104
271,LW,49,50,51
271,LMC,54,55,56
271,HG,72,74,77
271,SB,72,73,75
271,MKT,59,61,62
271,HYW,69,70,72
272,LW,55,56,58
272,LMC,60,61,63
272,HG,84,86,89
272,SB,83,85,87
272,MKT,66,67,69
272,HYW,75,76,79
280,LW,66,67,68
280,LMC,71,72,73
280,HG,86,90,94
280,SB,95,98,101
280,MKT,80,81,83
280,HYW,88,90,91
281,LW,60,62,63
281,LMC,65,67,68
281,HG,97,100,102
281,SB,98,100,103
281,MKT,75,76,77
281,HYW,83,85,86
282,LW,57,58,60
282,LMC,62,63,65
282,HG,95,98,101
282,SB,92,95,97
282,MKT,69,70,72
282,HYW,78,79,81
283,LW,61,62,63
283,LMC,66,67,68
283,HG,96,99,101
283,SB,99,100,102
283,MKT,76,77,78
283,HYW,85,86,87
284,LW,57,58,59
284,LMC,62,63,64
284,HG,91,94,97
284,SB,96,98,100
284,MKT,67,68,70
284,HYW,76,78,79
285,LW,61,62,64
285,LMC,66,67,69
285,HG,90,93,96
285,SB,94,96,98
285,MKT,72,73,75
285,HYW,81,82,84
286,LW,72,74,76
286,LMC,77,79,81
286,HG,87,91,94
286,SB,92,95,98
286,MKT,85,88,90
286,HYW,94,96,98
287,LW,59,60,61
287,LMC,64,65,66
287,HG,88,92,96
287,SB,95,97,99
287,MKT,71,72,74
287,HYW,80,81,83
288S,LW,86,89,92
288S,LMC,91,94,97
288S,MKT,118,,
288S,HYW,110,114,116
290,LW,78,80,82
290,LMC,83,85,87
290,HG,95,99,104
290,SB,104,108,113
290,MKT,95,97,100
290,HYW,100,103,106
291,LW,65,66,67
291,LMC,70,71,72
291,HG,85,92,97
291,SB,102,104,106
291,MKT,78,79,81
291,HYW,87,88,90
292,LW,72,74,75
292,LMC,77,79,80
292,HG,95,101,106
292,SB,110,112,115
292,MKT,94,96,98
