from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
517,HG,64.0,67.0,69.0,5,0.5477225575051661,1.0
517,HYW,73.0,77.0,81.0,5,0.7071067811865476,2.0
517,LMC,71.0,73.0,76.0,5,0.4472135954999579,1.0
517,LW,66.0,68.0,71.0,5,0.4472135954999579,1.0
517,MKT,72.0,74.0,76.0,5,0.5477225575051661,1.0
517,SB,54.0,57.0,59.0,5,0.4472135954999579,1.0
518,HG,58.0,61.0,64.0,5,0.5477225575051661,1.0
518,HYW,67.0,71.0,77.0,5,0.8944271909999159,2.0
518,LMC,75.0,79.0,83.0,5,0.7071067811865476,2.0
518,LW,70.0,74.0,78.0,5,0.7071067811865476,2.0
518,MKT,75.0,78.0,82.0,5,0.8366600265340756,2.0
518,SB,60.0,64.0,68.0,5,0.4472135954999579,1.0
519,HG,61.0,64.0,67.0,5,0.5477225575051661,1.0
519,HYW,69.0,73.0,79.0,5,1.3038404810405297,3.0
519,LMC,77.0,81.0,84.0,5,0.5477225575051661,1.0
519,LW,72.0,76.0,79.0,5,0.5477225575051661,1.0
519,MKT,77.0,80.0,84.0,5,0.4472135954999579,1.0
519,SB,56.0,59.0,63.0,5,0.5477225575051661,1.0
521,HG,59.0,61.0,65.0,5,0.4472135954999579,1.0
521,HYW,69.0,74.0,78.0,5,0.7071067811865476,2.0
521,LMC,72.0,76.0,79.0,5,0.4472135954999579,1.0
521,LW,67.0,71.0,74.0,5,0.4472135954999579,1.0
521,MKT,71.0,74.0,78.0,5,0.8366600265340756,2.0
521,SB,66.0,69.0,73.0,5,0.5477225575051661,1.0
522,HG,79.0,83.0,87.0,5,0.5477225575051661,1.0
522,HYW,87.0,92.0,96.0,5,0.8944271909999159,2.0
522,LMC,96.0,100.0,105.0,5,0.5477225575051661,1.0
522,LW,91.0,95.0,99.0,5,0.5477225575051661,1.0
522,MKT,96.0,99.0,103.0,5,0.5477225575051661,1.0
522,SB,79.0,83.0,88.0,5,0.5477225575051661,1.0
523,HG,70.0,78.0,86.0,5,1.224744871391589,3.0
523,HYW,79.0,87.0,94.0,5,1.6733200530681511,4.0
523,LMC,91.0,99.0,107.0,5,2.387467277262665,6.0
523,LW,86.0,94.0,102.0,5,1.9493588689617927,5.0
523,MKT,90.0,98.0,105.0,5,1.816590212458495,4.0
523,SB,74.0,83.0,90.0,5,1.3416407864998738,3.0
524,HG,41.0,43.0,46.0,5,0.4472135954999579,1.0
524,HYW,55.0,62.0,66.0,5,0.8366600265340756,2.0
524,LMC,55.0,57.0,60.0,5,0.4472135954999579,1.0
524,LW,50.0,52.0,55.0,5,0.4472135954999579,1.0
524,MKT,55.0,58.0,61.0,5,0.0,0.0
524,SB,45.0,49.0,52.0,5,0.4472135954999579,1.0
525,HG,54.0,57.0,61.0,5,0.5477225575051661,1.0
525,HYW,67.0,71.0,77.0,5,0.5477225575051661,1.0
525,LMC,70.0,74.0,78.0,5,0.4472135954999579,1.0
525,LW,65.0,69.0,73.0,5,0.4472135954999579,1.0
525,MKT,71.0,74.0,78.0,5,0.5477225575051661,1.0
525,SB,64.0,67.0,71.0,5,0.4472135954999579,1.0
526,HG,59.0,62.0,66.0,5,0.4472135954999579,1.0
526,HYW,70.0,75.0,79.0,5,0.5477225575051661,1.0
526,LMC,78.0,81.0,84.0,5,0.5477225575051661,1.0
526,LW,73.0,76.0,79.0,5,0.5477225575051661,1.0
526,MKT,77.0,80.0,83.0,5,0.8366600265340756,2.0
526,SB,67.0,70.0,74.0,5,0.5477225575051661,1.0
527,HG,46.0,48.0,51.0,5,0.4472135954999579,1.0
527,HYW,60.0,65.0,70.0,5,0.8366600265340756,2.0
527,LMC,61.0,64.0,68.0,5,0.5477225575051661,1.0
527,LW,56.0,59.0,63.0,5,0.5477225575051661,1.0
527,MKT,62.0,65.0,68.0,5,0.8366600265340756,2.0
527,SB,43.0,47.0,50.0,5,0.8944271909999159,2.0
528,HG,66.0,70.0,75.0,5,0.7071067811865476,2.0
528,HYW,74.0,79.0,85.0,5,0.8366600265340756,2.0
528,LMC,84.0,89.0,94.0,5,0.8366600265340756,2.0
528,LW,79.0,84.0,89.0,5,0.8366600265340756,2.0
528,MKT,84.0,89.0,93.0,5,0.5477225575051661,1.0
