"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"175","WKS",38,40,41,3
"181","WKS",61,65,68,3
"182","WKS",55,59,63,3
"184","WKS",59,63,67,3
"190","WKS",49,53,57,3
"191","WKS",50,51,53,3
"192","WKS",50,52,53,3
"193","WKS",65,67,69,3
"195","WKS",59,61,63,3
"196","WKS",75,81,86,3
"197","WKS",75,80,84,3
"198","WKS",81,86,90,3
"211","WKS",12,13,15,3
"212","WKS",14,15,16,3
"213","WKS",21,22,25,3
"214","WKS",13,14,15,3
"215","WKS",17,19,20,3
"216","WKS",13,14,16,3
"217","WKS",21,23,24,3
"220","WKS",10,11,12,3
"221","WKS",18,19,20,3
"222","WKS",15,17,18,3
"225","WKS",11,11,12,3
"226","WKS",16,17,18,3
"227","WKS",14,15,16,3
"228","WKS",10,11,12,3
"229","WKS",12,13,14,3
"231","WKS",19,20,21,3
"232","WKS",21,22,23,3
"233","WKS",22,23,24,3
"234","WKS",21,23,24,3
"235","WKS",17,20,22,3
"236","WKS",24,24,25,3
"237","WKS",25,26,27,3
"241","WKS",16,18,20,3
"242","WKS",22,24,26,3
"243","WKS",17,19,21,3
"244","WKS",19,21,24,3
"245","WKS",19,22,23,3
"246","WKS",21,23,26,3
"247","WKS",23,25,27,3
"251","WKS",13,13,13,3
"252","WKS",12,12,12,3
"253","WKS",16,18,20,3
"254","WKS",22,23,25,3
"255","WKS",21,23,24,3
"256","WKS",15,16,18,3
"260","WKS",21,23,24,3
"261","WKS",32,34,36,3
"262","WKS",29,30,31,3
"263","WKS",32,34,36,3
"264","WKS",19,20,23,3
"265","WKS",17,18,21,3
"266","WKS",17,18,19,3
"267","WKS",12,13,15,3
"268","WKS",26,27,28,3
"269","WKS",34,37,41,3
"271","WKS",23,24,25,3
"272","WKS",29,30,31,3
"280","WKS",29,32,34,3
"281","WKS",33,34,36,3
"282","WKS",30,31,32,3
"283","WKS",30,32,33,3
"284","WKS",29,31,33,3
"285","WKS",26,27,29,3
"286","WKS",24,27,30,3
"287","WKS",28,30,33,3
"288","WKS",47,48,50,3
"290","WKS",38,42,44,3
"291","WKS",33,35,38,3
"292","WKS",37,39,42,3
"293","WKS",36,38,41,3
"294","WKS",36,37,41,3
"295","WKS",34,36,39,3
"296","WKS",43,45,48,3
"297","WKS",35,39,42,3
"298","WKS",36,39,43,3
"320","WKS",27,28,30,3
"321","WKS",48,50,52,3
"322","WKS",47,50,52,3
"323","WKS",42,43,45,3
"324","WKS",31,33,34,3
"325","WKS",47,48,49,3
"326","WKS",38,39,41,3
"327","WKS",51,54,55,3
"328","WKS",38,40,41,3
"329","WKS",42,44,47,3
"334","WKS",57,60,63,3
"335","WKS",57,59,60,3
"336","WKS",56,58,61,3
"350","WKS",53,54,56,3
"351","WKS",54,56,58,3
"421","WKS",84,90,95,3
"423","WKS",58,60,62,3
"424","WKS",57,59,61,3
"426","WKS",62,63,65,3
"427","WKS",67,69,71,3
"428","WKS",75,77,80,3
"442","WKS",78,82,86,3
"510","WKS",48,50,52,3
"511","WKS",75,78,80,3
"512","WKS",68,70,72,3
"514","WKS",74,77,81,3
"515","WKS",62,64,66,3
"517","WKS",66,68,71,3
"518","WKS",60,62,65,3
"519","WKS",60,62,64,3
"521","WKS",54,56,59,3
"522","WKS",80,83,86,3
"523","WKS",66,74,83,3
"524","WKS",41,42,44,3
"525","WKS",61,63,65,3
"526","WKS",57,60,63,3
"527","WKS",48,50,52,3
"528","WKS",60,64,69,3
"529","WKS",50,54,57,3
"531","WKS",70,73,75,3
"532","WKS",72,76,79,3
"533","WKS",69,72,75,3
"541","WKS",70,73,76,3
"543","WKS",74,79,85,3
"544","WKS",76,78,80,3
"545","WKS",96,98,100,3
"546","WKS",103,106,109,3
"547","WKS",89,92,96,3
"548","WKS",96,98,100,3
"549","WKS",94,99,107,3
"621","WKS",82,86,90,3
"622","WKS",104,112,,3
"623","WKS",95,97,100,3
"624","WKS",74,75,76,3
"625","WKS",71,72,74,3
"626","WKS",69,70,72,3
"627","WKS",67,68,70,3
"628","WKS",63,64,66,3
"629","WKS",95,98,102,3
"631","WKS",81,83,85,3
"634","WKS",99,102,104,3
"720","WKS",103,,,3
"722","WKS",77,80,81,3
"723","WKS",57,58,60,3
"725","WKS",67,69,70,3
"726","WKS",60,61,62,3
"727","WKS",79,81,83,3
"728","WKS",75,78,80,3
"729","WKS",63,66,68,3
"751","WKS",74,77,80,3
"753","WKS",62,65,68,3
"754","WKS",40,43,46,3
"755","WKS",38,41,43,3
"756","WKS",54,56,58,3
"757","WKS",66,67,69,3
"758","WKS",43,44,46,3
"759","WKS",42,44,48,3
"811","WKS",103,114,,3
"820","WKS",63,66,70,3
"822","WKS",78,82,85,3
"825","WKS",68,71,74,3
"826","WKS",56,58,61,3
"827","WKS",68,71,74,3
"828","WKS",58,61,63,3
"831","WKS",53,55,57,3
"832","WKS",64,68,71,3
"835","WKS",61,66,71,3
"836","WKS",43,46,48,3
"837","WKS",50,53,56,3
"838","WKS",45,48,49,3
"839","WKS",51,53,56,3
"912","WKS",82,87,91,3
"920","WKS",96,100,105,3
"951","WKS",101,104,107,3
"971","WKS",81,87,95,3
"972","WKS",92,97,100,3
"973","WKS",84,93,117,3
"975","WKS",52,54,56,3
"111","WKS",42,44,45,4
"112","WKS",27,30,32,4
"113","WKS",28,29,31,4
"114","WKS",26,28,29,4
"115","WKS",28,29,30,4
"116","WKS",32,33,34,4
"121","WKS",20,21,23,4
"122","WKS",26,27,29,4
"123","WKS",21,22,23,4
"124","WKS",18,19,20,4
"131","WKS",26,27,28,4
"132","WKS",29,31,32,4
"133","WKS",30,31,32,4
"134","WKS",27,28,29,4
"135","WKS",31,32,33,4
"140","WKS",38,41,43,4
"141","WKS",42,44,46,4
"142","WKS",29,30,31,4
"143","WKS",30,32,33,4
"144","WKS",39,41,42,4
"145","WKS",42,44,45,4
"146","WKS",26,27,28,4
"147","WKS",32,33,33,4
"148","WKS",41,42,44,4
"149","WKS",40,43,45,4
"151","WKS",33,34,36,4
"152","WKS",42,45,48,4
"153","WKS",27,31,36,4
"154","WKS",39,42,45,4
"155","WKS",34,35,36,4
"156","WKS",51,55,58,4
"157","WKS",34,36,39,4
"161","WKS",40,41,42,4
"162","WKS",57,59,61,4
"163","WKS",51,53,54,4
"164","WKS",57,59,61,4
"165","WKS",48,49,52,4
"166","WKS",50,52,54,4
"167","WKS",70,,,4
"171","WKS",45,46,49,4
"172","WKS",40,42,44,4
"173","WKS",61,63,64,4
"174","WKS",43,44,46,4
"175","WKS",39,40,41,4
"181","WKS",61,65,68,4
"182","WKS",56,61,63,4
"184","WKS",58,62,66,4
"190","WKS",50,54,58,4
"191","WKS",50,51,53,4
"192","WKS",49,51,53,4
"193","WKS",65,67,69,4
"195","WKS",59,61,63,4
"196","WKS",76,81,86,4
"197","WKS",75,81,86,4
"198","WKS",81,86,91,4
"211","WKS",12,13,15,4
"212","WKS",13,15,15,4
"213","WKS",21,23,24,4
"214","WKS",12,14,16,4
"215","WKS",17,18,20,4
"216","WKS",12,14,15,4
"217","WKS",22,23,24,4
"220","WKS",10,11,11,4
"221","WKS",18,19,20,4
"222","WKS",16,16,17,4
"225","WKS",11,11,12,4
"226","WKS",16,17,18,4
"227","WKS",14,15,16,4
"228","WKS",10,11,12,4
"229","WKS",12,13,14,4
"231","WKS",19,20,22,4
"232","WKS",21,22,23,4
"233","WKS",21,22,24,4
"234","WKS",22,23,24,4
"235","WKS",17,20,21,4
"236","WKS",23,24,25,4
"237","WKS",25,26,27,4
"241","WKS",17,18,21,4
"242","WKS",22,24,25,4
"243","WKS",17,19,21,4
"244","WKS",19,22,24,4
"245","WKS",19,22,23,4
"246","WKS",22,23,26,4
"247","WKS",23,25,27,4
"251","WKS",13,13,13,4
"252","WKS",12,12,12,4
"253","WKS",16,17,19,4
"254","WKS",22,23,25,4
"255","WKS",20,22,25,4
"256","WKS",15,16,18,4
"260","WKS",21,23,25,4
"261","WKS",32,34,35,4
"262","WKS",29,31,32,4
"263","WKS",32,34,36,4
"264","WKS",19,20,22,4
"265","WKS",16,18,20,4
"266","WKS",17,18,19,4
"267","WKS",11,13,14,4
"268","WKS",25,26,28,4
"269","WKS",34,37,41,4
"271","WKS",23,24,25,4
"272","WKS",29,31,32,4
"280","WKS",30,32,34,4
"281","WKS",32,35,36,4
"282","WKS",30,31,32,4
"283","WKS",30,31,33,4
"284","WKS",29,31,33,4
"285","WKS",25,27,29,4
"286","WKS",25,27,30,4
"287","WKS",28,30,32,4
"288","WKS",47,49,51,4
"290","WKS",38,41,44,4
"291","WKS",33,35,38,4
"292","WKS",37,40,41,4
"293","WKS",36,38,40,4
"294","WKS",35,38,40,4
"295","WKS",35,37,40,4
"296","WKS",43,46,48,4
"297","WKS",35,39,44,4
"298","WKS",36,39,43,4
"320","WKS",27,29,30,4
"321","WKS",48,50,52,4
"322","WKS",47,50,52,4
"323","WKS",41,43,44,4
"324","WKS",32,33,35,4
"325","WKS",46,48,49,4
"326","WKS",38,40,41,4
"327","WKS",51,53,56,4
"328","WKS",38,39,41,4
"329","WKS",42,43,47,4
"334","WKS",58,61,65,4
"335","WKS",57,58,60,4
"336","WKS",56,58,60,4
"350","WKS",53,55,57,4
"351","WKS",54,56,57,4
"421","WKS",84,88,94,4
"423","WKS",58,60,62,4
"424","WKS",58,59,61,4
"426","WKS",61,63,65,4
"427","WKS",68,69,72,4
"428","WKS",75,77,79,4
"442","WKS",79,83,87,4
"510","WKS",49,50,51,4
"511","WKS",76,78,81,4
"512","WKS",69,71,73,4
"514","WKS",74,77,81,4
"515","WKS",62,64,66,4
"517","WKS",66,68,71,4
"518","WKS",59,61,64,4
"519","WKS",59,61,64,4
"521","WKS",54,57,59,4
"522","WKS",81,84,87,4
"523","WKS",67,77,84,4
"524","WKS",41,42,44,4
"525","WKS",61,63,64,4
"526","WKS",57,60,64,4
"527","WKS",48,50,52,4
"528","WKS",60,64,69,4
"529","WKS",52,55,57,4
"531","WKS",70,73,76,4
"532","WKS",71,76,80,4
"533","WKS",69,72,76,4
"541","WKS",71,73,76,4
"543","WKS",75,79,86,4
"544","WKS",76,78,81,4
"545","WKS",95,98,100,4
"546","WKS",102,105,109,4
"547","WKS",89,92,95,4
"548","WKS",96,98,100,4
"549","WKS",94,98,105,4
"621","WKS",83,86,89,4
"622","WKS",102,109,,4
"623","WKS",96,97,100,4
"624","WKS",74,75,76,4
"625","WKS",71,73,74,4
"626","WKS",69,71,72,4
"627","WKS",67,69,70,4
"628","WKS",63,65,66,4
"629","WKS",95,97,102,4
"631","WKS",81,83,85,4
"634","WKS",100,101,103,4
"720","WKS",99,,,4
"722","WKS",77,79,81,4
"723","WKS",56,58,60,4
"725","WKS",67,68,70,4
"726","WKS",59,61,62,4
"727","WKS",78,81,83,4
"728","WKS",76,78,80,4
"729","WKS",63,65,68,4
"751","WKS",74,77,80,4
"753","WKS",60,64,67,4
"754","WKS",41,44,47,4
"755","WKS",38,41,43,4
"756","WKS",54,56,58,4
"757","WKS",66,68,69,4
"758","WKS",43,43,45,4
"759","WKS",41,44,47,4
"811","WKS",101,111,,4
"820","WKS",63,66,70,4
"822","WKS",79,82,85,4
"825","WKS",67,69,73,4
"826","WKS",56,58,60,4
"827","WKS",68,71,74,4
"828","WKS",58,61,63,4
"831","WKS",53,55,57,4
"832","WKS",64,67,72,4
"835","WKS",62,67,72,4
"836","WKS",43,45,48,4
