"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"421","LMC",88,92,98,16
"421","HG",87,95,101,16
"421","SB",62,66,72,16
"421","MKT",85,89,94,16
"421","HYW",94,98,103,16
"622","LW",47,55,64,16
"622","LMC",52,60,69,16
"622","HG",69,77,85,16
"622","SB",102,111,119,16
"622","MKT",50,57,66,16
"622","HYW",59,66,76,16
"627","LW",19,20,21,16
"627","LMC",24,25,26,16
"627","HG",39,44,49,16
"627","SB",76,79,81,16
"627","MKT",26,27,30,16
"627","HYW",35,37,39,16
"728","LW",42,43,45,16
"728","LMC",47,48,50,16
"728","MKT",53,55,57,16
"728","HYW",54,60,63,16
"835","LW",96,100,105,16
"835","LMC",101,105,111,16
"838","LW",75,76,78,16
"838","LMC",80,81,83,16
"838","HG",105,111,116,16
"838","MKT",95,96,97,16
"838","HYW",103,104,105,16
"971","SB",107,114,119,16
"284","LW",57,58,59,17
"284","LMC",62,63,64,17
"284","HG",92,95,97,17
"284","SB",96,98,100,17
"284","MKT",67,68,70,17
"284","HYW",76,78,79,17
"421","LW",83,87,92,17
"421","LMC",88,92,98,17
"421","HG",90,98,103,17
"421","SB",62,66,71,17
"421","MKT",85,89,94,17
"421","HYW",94,98,103,17
"622","LW",47,53,66,17
"622","LMC",52,58,71,17
"622","HG",68,77,88,17
"622","SB",102,109,,17
"622","MKT",49,56,69,17
"622","HYW",58,66,78,17
"627","LW",19,20,21,17
"627","LMC",24,25,26,17
"627","HG",38,41,46,17
"627","SB",75,78,81,17
"627","MKT",25,27,29,17
"627","HYW",35,37,39,17
"728","LW",42,43,45,17
"728","LMC",47,48,50,17
"728","MKT",53,55,57,17
"728","HYW",54,59,63,17
"835","LW",95,101,105,17
"835","LMC",101,106,111,17
"838","LW",75,76,77,17
"838","LMC",80,81,82,17
"838","HG",105,111,116,17
"838","MKT",95,96,97,17
"838","HYW",103,104,106,17
"971","SB",108,114,119,17
"284","LW",57,58,59,18
"284","LMC",62,63,64,18
"284","HG",91,95,98,18
"284","SB",96,98,100,18
"284","MKT",67,69,70,18
"284","HYW",76,78,79,18
"421","LW",83,87,92,18
"421","LMC",88,92,97,18
"421","HG",89,96,102,18
"421","SB",61,67,71,18
"421","MKT",85,89,94,18
"421","HYW",94,98,103,18
"622","LW",48,53,66,18
"622","LMC",53,58,71,18
"622","HG",70,77,87,18
"622","SB",103,111,,18
"622","MKT",51,56,69,18
"622","HYW",61,66,78,18
