"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"838","LW",75,76,77,13
"838","LMC",80,81,82,13
"838","HG",106,111,116,13
"838","MKT",94,96,97,13
"838","HYW",103,104,106,13
"971","SB",108,113,118,13
"284","LW",57,58,59,14
"284","LMC",62,63,64,14
"284","HG",90,93,96,14
"284","SB",96,99,100,14
"284","MKT",67,68,70,14
"284","HYW",76,77,79,14
"421","LW",83,87,92,14
"421","LMC",88,92,97,14
"421","HG",88,95,101,14
"421","SB",61,67,71,14
"421","MKT",85,89,94,14
"421","HYW",94,98,102,14
"622","LW",47,53,65,14
"622","LMC",52,58,70,14
"622","HG",68,78,89,14
"622","SB",102,110,,14
"622","MKT",51,57,67,14
"622","HYW",61,67,77,14
"627","LW",19,20,21,14
"627","LMC",24,25,26,14
"627","HG",38,43,49,14
"627","SB",75,78,81,14
"627","MKT",25,27,29,14
"627","HYW",35,37,39,14
"728","LW",42,43,45,14
"728","LMC",47,48,50,14
"728","MKT",53,55,57,14
"728","HYW",56,60,63,14
"835","LW",96,101,104,14
"835","LMC",102,106,111,14
"838","LW",75,76,78,14
"838","LMC",80,81,83,14
"838","HG",105,110,116,14
"838","MKT",94,96,97,14
"838","HYW",103,104,105,14
"971","SB",107,113,118,14
"284","LW",57,58,59,15
"284","LMC",62,63,64,15
"284","HG",90,93,97,15
"284","SB",96,98,100,15
"284","MKT",67,68,70,15
"284","HYW",76,78,79,15
"421","LW",85,88,93,15
"421","LMC",90,93,98,15
"421","HG",88,96,104,15
"421","SB",63,67,72,15
"421","MKT",86,90,95,15
"421","HYW",95,99,104,15
"622","LW",48,55,65,15
"622","LMC",53,60,70,15
"622","HG",69,77,86,15
"622","SB",103,110,,15
"622","MKT",51,58,68,15
"622","HYW",60,67,77,15
"627","LW",19,20,21,15
"627","LMC",24,25,26,15
"627","HG",40,43,48,15
"627","SB",76,78,80,15
"627","MKT",25,27,29,15
"627","HYW",34,37,38,15
"728","LW",42,43,44,15
"728","LMC",47,48,49,15
"728","MKT",53,55,56,15
"728","HYW",55,59,63,15
"835","LW",94,98,106,15
"835","LMC",100,105,112,15
"838","LW",75,76,77,15
"838","LMC",80,81,82,15
"838","HG",104,111,117,15
"838","MKT",94,96,97,15
"838","HYW",103,104,105,15
"971","SB",106,112,118,15
"284","LW",57,58,59,16
"284","LMC",62,63,64,16
"284","HG",91,94,97,16
"284","SB",96,98,100,16
"284","MKT",67,68,70,16
"284","HYW",76,78,79,16
"421","LW",83,87,93,16
